sim_time,cmd_speed,pos_x,pos_y,pos_z,qx,qy,qz,qw,p0,p1,p2,p3,v0,v1,v2,v3
20.183,0.22929999999999992,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,576.5609694309895,576.5609694309895,-576.5609694309895,-576.5609694309895,399.32547598878773,399.32547598878773,-399.32547598878773,-399.32547598878773
20.203,0.23179999999999995,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,584.5523463942123,584.5523463942123,-584.5523463942123,-584.5523463942123,399.7265716613451,399.7265716613451,-399.7265716613451,-399.7265716613451
20.223,0.23179999999999995,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,592.5486684598145,592.5486684598145,-592.5486684598145,-592.5486684598145,399.8741265132218,399.8741265132218,-399.8741265132218,-399.8741265132218
20.243,0.23179999999999995,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,600.5468097269166,600.5468097269166,-600.5468097269166,-600.5468097269166,399.9284089096724,399.9284089096724,-399.9284089096724,-399.9284089096724
20.263,0.2343,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,608.5456202408499,608.5456202408499,-608.5456202408499,-608.5456202408499,399.94837828734404,399.94837828734404,-399.94837828734404,-399.94837828734404
20.283,0.2343,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,616.5446769569332,616.5446769569332,-616.5446769569332,-616.5446769569332,399.9557246108424,399.9557246108424,-399.9557246108424,-399.9557246108424
20.303,0.23680000000000004,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,624.543824245726,624.543824245726,-624.543824245726,-624.543824245726,399.95842717222575,399.95842717222575,-399.95842717222575,-399.95842717222575
20.323,0.23680000000000004,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,632.5430048543564,632.5430048543564,-632.5430048543564,-632.5430048543564,399.95942138899716,399.95942138899716,-399.95942138899716,-399.95942138899716
20.343,0.23680000000000004,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,640.5421977206704,640.5421977206704,-640.5421977206704,-640.5421977206704,399.95978714090745,399.95978714090745,-399.95978714090745,-399.95978714090745
20.363,0.23930000000000007,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,648.5413950963339,648.5413950963339,-648.5413950963339,-648.5413950963339,399.9599216935158,399.9599216935158,-399.9599216935158,-399.9599216935158
20.383,0.23930000000000007,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,656.5405941308944,656.5405941308944,-656.5405941308944,-656.5405941308944,399.95997119265417,399.95997119265417,-399.95997119265417,-399.95997119265417
20.403,0.24179999999999993,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,664.5397937757292,664.5397937757292,-664.5397937757292,-664.5397937757292,399.95998940236956,399.95998940236956,-399.95998940236956,-399.95998940236956
20.423000000000002,0.24179999999999993,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,672.5389936450711,672.5389936450711,-672.5389936450711,-672.5389936450711,399.9599961013494,399.9599961013494,-399.9599961013494,-399.9599961013494
20.443,0.24179999999999993,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,680.5381935970049,680.5381935970049,-680.5381935970049,-680.5381935970049,399.9599985657664,399.9599985657664,-399.9599985657664,-399.9599985657664
20.463,0.24429999999999996,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,688.5373935793222,688.5373935793222,-688.5373935793222,-688.5373935793222,399.9599994723747,399.9599994723747,-399.9599994723747,-399.9599994723747
20.483,0.24429999999999996,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,696.5365935728171,696.5365935728171,-696.5365935728171,-696.5365935728171,399.9599998058974,399.9599998058974,-399.9599998058974,-399.9599998058974
20.503,0.2468,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,704.5357935704238,704.5357935704238,-704.5357935704238,-704.5357935704238,399.95999992859345,399.95999992859345,-399.95999992859345,-399.95999992859345
20.523,0.2468,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,712.5349935695434,712.5349935695434,-712.5349935695434,-712.5349935695434,399.95999997373076,399.95999997373076,-399.95999997373076,-399.95999997373076
20.543,0.2468,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,720.5341935692193,720.5341935692193,-720.5341935692193,-720.5341935692193,399.9599999903358,399.9599999903358,-399.9599999903358,-399.9599999903358
20.563,0.24930000000000002,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,728.5333935690999,728.5333935690999,-728.5333935690999,-728.5333935690999,399.9599999964446,399.9599999964446,-399.9599999964446,-399.9599999964446
20.583,0.24930000000000002,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,736.532593569056,736.532593569056,-736.532593569056,-736.532593569056,399.9599999986919,399.9599999986919,-399.9599999986919,-399.9599999986919
20.603,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,744.5317935690398,744.5317935690398,-744.5317935690398,-744.5317935690398,399.9599999995186,399.9599999995186,-399.9599999995186,-399.9599999995186
20.623,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,752.5309935690337,752.5309935690337,-752.5309935690337,-752.5309935690337,399.9599999998227,399.9599999998227,-399.9599999998227,-399.9599999998227
20.643,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,760.5301935690316,760.5301935690316,-760.5301935690316,-760.5301935690316,399.95999999993455,399.95999999993455,-399.95999999993455,-399.95999999993455
20.663,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,768.5293935690308,768.5293935690308,-768.5293935690308,-768.5293935690308,399.95999999997576,399.95999999997576,-399.95999999997576,-399.95999999997576
20.683,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,776.5285935690301,776.5285935690301,-776.5285935690301,-776.5285935690301,399.95999999999094,399.95999999999094,-399.95999999999094,-399.95999999999094
20.703,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,784.5277935690294,784.5277935690294,-784.5277935690294,-784.5277935690294,399.9599999999965,399.9599999999965,-399.9599999999965,-399.9599999999965
20.723,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,792.5269935690287,792.5269935690287,-792.5269935690287,-792.5269935690287,399.95999999999844,399.95999999999844,-399.95999999999844,-399.95999999999844
20.743,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,800.526193569028,800.526193569028,-800.526193569028,-800.526193569028,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.763,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,808.5253935690273,808.5253935690273,-808.5253935690273,-808.5253935690273,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.783,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,816.5245935690266,816.5245935690266,-816.5245935690266,-816.5245935690266,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
