theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
3.00000000,-51.00000000,38.12419201,12.70806400,0.00000000
4.00000000,-51.00000000,37.85391954,9.46347989,0.00000000
5.00000000,-51.00000000,37.58709110,7.51741822,0.00000000
6.00000000,-51.00000000,37.32420030,6.22070005,0.00000000
7.00000000,-51.00000000,37.06579000,5.29511286,0.00000000
8.00000000,-51.00000000,36.81245721,4.60155715,0.00000000
9.00000000,-51.00000000,36.56485844,4.06276205,0.00000000
10.00000000,-51.00000000,36.32371543,3.63237154,0.00000000
11.00000000,-51.00000000,36.08982126,3.28089284,0.00000000
12.00000000,-51.00000000,35.86404689,2.98867057,0.00000000
13.00000000,-51.00000000,35.64734806,2.74210370,0.00000000
14.00000000,-51.00000000,35.44077262,2.53148376,0.00000000
15.00000000,-51.00000000,35.24546804,2.34969787,0.00000000
16.00000000,-51.00000000,35.06268928,2.19141808,0.00000000
17.00000000,-51.00000000,34.89380661,2.05257686,0.00000000
18.00000000,-51.00000000,34.74031345,1.93001741,0.00000000
19.00000000,-51.00000000,34.60383389,1.82125442,0.00000000
20.00000000,-51.00000000,34.48612954,1.72430648,0.00000000
21.00000000,-51.00000000,34.38910547,1.63757645,0.00000000
22.00000000,-51.00000000,34.31481452,1.55976430,0.00000000
23.00000000,-51.00000000,34.26545963,1.48980259,0.00000000
24.00000000,-51.00000000,34.24339314,1.42680805,0.00000000
25.00000000,-51.00000000,34.25111241,1.37004450,0.00000000
26.00000000,-51.00000000,34.29125049,1.31889425,0.00000000
27.00000000,-51.00000000,34.36656075,1.27283558,0.00000000
28.00000000,-51.00000000,34.47989413,1.23142479,0.00000000
29.00000000,-51.00000000,34.63416755,1.19428164,0.00000000
30.00000000,-51.00000000,34.83232226,1.16107741,0.00000000
31.00000000,-51.00000000,35.07727077,1.13152486,0.00000000
32.00000000,-51.00000000,35.37183187,1.10536975,0.00000000
33.00000000,-51.00000000,35.71865330,1.08238343,0.00000000
34.00000000,-51.00000000,36.12012308,1.06235656,0.00000000
35.00000000,-51.00000000,36.57827162,1.04509347,0.00000000
36.00000000,-51.00000000,37.09466809,1.03040745,0.00000000
37.00000000,-51.00000000,37.67031680,1.01811667,0.00000000
38.00000000,-51.00000000,38.30556057,1.00804107,0.00000000
39.00000000,-51.00000000,39.00000000,1.00000000,0.00000000
40.00000000,-51.00000000,39.39948831,0.98498721,1.00000000
0.00000000,-50.00000000,39.52842487,inf,0.00000000
1.00000000,-50.00000000,39.26587677,39.26587677,0.00000000
2.00000000,-50.00000000,39.00495525,19.50247762,0.00000000
3.00000000,-50.00000000,38.74600025,12.91533342,0.00000000
4.00000000,-50.00000000,38.48938475,9.62234619,0.00000000
5.00000000,-50.00000000,38.23551850,7.64710370,0.00000000
6.00000000,-50.00000000,37.98485202,6.33080867,0.00000000
7.00000000,-50.00000000,37.73788103,5.39112586,0.00000000
8.00000000,-50.00000000,37.49515115,4.68689389,0.00000000
9.00000000,-50.00000000,37.25726312,4.13969590,0.00000000
10.00000000,-50.00000000,37.02487827,3.70248783,0.00000000
11.00000000,-50.00000000,36.79872464,3.34533860,0.00000000
12.00000000,-50.00000000,36.57960332,3.04830028,0.00000000
13.00000000,-50.00000000,36.36839543,2.79756888,0.00000000
14.00000000,-50.00000000,36.16606945,2.58329067,0.00000000
15.00000000,-50.00000000,35.97368893,2.39824593,0.00000000
16.00000000,-50.00000000,35.79242067,2.23702629,0.00000000
17.00000000,-50.00000000,35.62354305,2.09550253,0.00000000
18.00000000,-50.00000000,35.46845464,1.97046970,0.00000000
19.00000000,-50.00000000,35.32868268,1.85940435,0.00000000
20.00000000,-50.00000000,35.20589138,1.76029457,0.00000000
21.00000000,-50.00000000,35.10188966,1.67151856,0.00000000
22.00000000,-50.00000000,35.01863783,1.59175626,0.00000000
23.00000000,-50.00000000,34.95825281,1.51992404,0.00000000
24.00000000,-50.00000000,34.92301118,1.45512547,0.00000000
25.00000000,-50.00000000,34.91534921,1.39661397,0.00000000
26.00000000,-50.00000000,34.93785884,1.34376380,0.00000000
27.00000000,-50.00000000,34.99327861,1.29604736,0.00000000
28.00000000,-50.00000000,35.08447792,1.25301707,0.00000000
29.00000000,-50.00000000,35.21443336,1.21429081,0.00000000
30.00000000,-50.00000000,35.38619548,1.17953985,0.00000000
31.00000000,-50.00000000,35.60284426,1.14847885,0.00000000
32.00000000,-50.00000000,35.86743220,1.12085726,0.00000000
33.00000000,-50.00000000,36.18291374,1.09645193,0.00000000
34.00000000,-50.00000000,36.55206103,1.07506062,0.00000000
35.00000000,-50.00000000,36.97736660,1.05649619,0.00000000
