t_LD,t_TO,stance_duration,landing_speed,theta_landing,theta_takeoff,veloc_takeoff,delta_psi,theta_TO,surface_angle_error,model_theta_t,model_theta_v,model_v_t,model_delta_psi,model_theta_TO,err_delta_psi,err_theta_TO
48.5717781,48.6172421,0.0454640388,1.97751931,4.11354157,5.82906135,13.6117672,1.71551978,7.78270588,0.25940898,5.17676073,9.70514671,1.79668633,1.06321916,4.52838598,0.652300619,3.2543199
49.1973128,49.242358,0.0450451374,2.04144301,5.33753906,6.71073245,14.9731424,1.37319339,8.26240995,0.269116752,6.78907616,12.6563606,1.85768531,1.4515371,5.86728441,-0.078343707,2.39512554
49.7820809,49.8261511,0.0440702438,1.73219116,6.57472736,9.18229133,18.1532172,2.60756397,8.97092588,0.646394852,7.93107498,15.2023958,1.56701492,1.35634762,7.27132081,1.25121635,1.69960507
50.4140341,50.4669759,0.0529417992,1.51629832,7.76439666,9.60831084,17.5483825,1.84391419,7.9400717,0.316492178,9.03737462,17.6611174,1.36617872,1.27297796,8.62374278,0.570936223,-0.683671084
50.9696639,51.0134571,0.0437932014,1.5357192,4.2037219,5.94980243,14.3299622,1.74608052,8.38015973,0.594566804,4.91303796,9.58381309,1.38244626,0.709316059,4.67077513,1.03676446,3.7093846
51.5689662,51.623312,0.0543458462,1.72714472,4.5721149,6.51130705,13.374243,1.93919215,6.86293599,0.255120915,5.51396824,10.572979,1.56129047,0.941853339,5.05901075,0.997338811,1.80392525
52.145313,52.2003832,0.0550701618,1.67906751,4.01781545,6.1778515,12.4279176,2.16003605,6.25006609,0.274544388,4.80747781,9.25807131,1.51607627,0.789662364,4.4505935,1.37037369,1.79947259
52.744139,52.7993271,0.055188179,2.10082254,5.83660418,8.26599303,16.7104131,2.42938884,8.44442012,0.0709865305,7.49921875,13.9070901,1.91421262,1.66261456,6.40787132,0.766774278,2.0365488
53.3230472,53.377048,0.0540008545,2.11124681,6.71443995,9.30876051,17.3104348,2.59432055,8.00167432,0.214656308,8.63957158,16.0085197,1.92462777,1.92513163,7.36894813,0.669188924,0.632726191
53.904002,53.9591138,0.0551118851,1.63749345,5.53956172,7.12181341,14.8762165,1.58225169,7.75440305,0.215793864,6.58053339,12.7206456,1.47786048,1.04097167,6.14011217,0.541280019,1.61429088
54.4729068,54.5275619,0.0546550751,2.07471583,5.27112837,8.7195879,17.037859,3.44845953,8.31827111,0.374098746,6.74346699,12.5340084,1.88916463,1.47233862,5.79054138,1.97612091,2.52772973
55.1170731,55.1722128,0.05513978,1.59860559,3.76637412,5.35924145,11.1708089,1.59286733,5.8115674,0.665141652,4.44749954,8.62692127,1.44085731,0.681125422,4.17942173,0.911741909,1.63214567
55.684324,55.738415,0.0540909767,1.70305377,1.4647711,2.8307675,6.22782043,1.3659964,3.39705293,0.547789381,1.76030021,3.3824161,1.53789596,0.295529109,1.62211589,1.07046729,1.77493704
56.315949,56.37134,0.0553910732,1.8526918,2.84512972,4.12606689,7.00263293,1.28093717,2.87656604,0.458438759,3.50581733,6.64633079,1.67858596,0.660687612,3.14051345,0.620249556,-0.263947418
56.9170551,56.97121,0.0541548729,2.37638702,4.45360279,6.70465753,15.0619488,2.25105475,8.35729131,0.569149162,6.00834449,10.8734843,2.17579473,1.55474171,4.86513984,0.696313039,3.49215146
57.574249,57.639209,0.0649600029,1.84598127,6.30841255,9.09091497,14.4449488,2.78250242,5.35403383,0.387928902,7.75741649,14.7181353,1.67372577,1.44900394,6.96071886,1.33349848,-1.60668502
58.1783121,58.2336099,0.0552978516,2.23656326,5.76855534,9.12248535,16.5493431,3.35393,7.42685772,0.516459366,7.58949149,13.9062774,2.04314076,1.82093615,6.31678588,1.53299385,1.11007184
58.8551552,58.9207761,0.0656208992,1.66527947,8.09019986,12.2675645,21.5809357,4.17736469,9.31337112,0.434507014,9.64603331,18.6024912,1.50534541,1.55583346,8.95645793,2.62153123,0.356913194
59.4744711,59.5397081,0.0652370453,1.73501621,4.47052301,6.32335989,11.7608279,1.85283688,5.43746803,0.945960432,5.39867441,10.3445299,1.5686252,0.928151403,4.94585545,0.924685478,0.491612585
60.0992451,60.1651261,0.0658810139,2.0692889,1.66196549,2.43872459,6.32667606,0.776759104,3.88795147,0.343248304,2.1259214,3.95252939,1.8828271,0.463955918,1.82660799,0.312803186,2.06134349
60.7126272,60.7671709,0.0545437336,2.32704982,0.83636258,1.4928981,5.51911273,0.656535524,4.02621463,0.207252936,1.11934274,2.03404892,2.12775533,0.28298016,0.914706179,0.373555365,3.11150845
