theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1.5,2.85,0.703793437,1.62580328,2.62952191
1.5,2.9,0.723730108,1.62452581,2.67775736
1.5,2.95,0.743871795,1.62326919,2.72603369
1.5,3,0.764219582,1.62203313,2.77434966
1.5,3.05,0.784774667,1.62081732,2.82270403
1.5,3.1,0.805538361,1.61962147,2.87109562
1.5,3.15,0.82651208,1.61844525,2.9195233
1.5,3.2,0.847697345,1.61728834,2.96798598
1.5,3.25,0.869095775,1.61615042,3.01648258
1.5,3.3,0.890709084,1.61503116,3.0650121
1.5,3.35,0.912539082,1.61393024,3.11357355
1.5,3.4,0.934587665,1.61284733,3.16216598
1.5,3.45,0.95685682,1.61178211,3.21078846
1.5,3.5,0.979348618,1.61073424,3.25944012
2,1,0.157930374,2.24864286,0.889473076
2,1.05,0.172631802,2.24630821,0.934916909
2,1.1,0.187819559,2.24394109,0.980469434
2,1.15,0.203474801,2.24154786,1.02613006
2,1.2,0.219579723,2.23913447,1.0718979
2,1.25,0.236117572,2.23670643,1.11777177
2,1.3,0.25307264,2.23426887,1.16375025
2,1.35,0.270430254,2.23182649,1.20983173
2,1.4,0.288176753,2.2293836,1.25601441
2,1.45,0.306299459,2.22694413,1.30229637
2,1.5,0.324786644,2.22451166,1.34867554
2,1.55,0.343627486,2.22208942,1.3951498
2,1.6,0.362812037,2.21968029,1.44171691
2,1.65,0.382331173,2.2172869,1.48837462
2,1.7,0.402176558,2.21491153,1.53512063
2,1.75,0.422340593,2.21255625,1.5819526
2,1.8,0.442816381,2.21022286,1.62886823
2,1.85,0.463597686,2.20791292,1.67586517
2,1.9,0.484678886,2.2056278,1.72294114
2,1.95,0.506054942,2.20336867,1.77009383
2,2,0.527721359,2.20113653,1.81732099
2,2.05,0.549674152,2.19893221,1.86462042
2,2.1,0.571909812,2.19675641,1.91198992
2,2.15,0.594425277,2.19460967,1.95942736
2,2.2,0.617217905,2.19249244,2.00693065
2,2.25,0.640285441,2.19040505,2.05449777
2,2.3,0.663625999,2.18834773,2.10212673
2,2.35,0.687238035,2.18632062,2.14981559
2,2.4,0.711120324,2.18432378,2.19756247
2,2.45,0.735271946,2.18235722,2.24536556
2,2.5,0.759692261,2.18042087,2.29322309
2,2.55,0.784380894,2.1785146,2.34113334
2,2.6,0.809337722,2.17663824,2.38909466
2,2.65,0.834562855,2.17479158,2.43710543
2,2.7,0.860056627,2.17297438,2.4851641
2,2.75,0.88581958,2.17118634,2.53326917
2,2.8,0.911852455,2.16942715,2.58141918
2,2.85,0.938156182,2.16769648,2.62961274
2,2.9,0.964731868,2.16599397,2.67784848
2,2.95,0.991580792,2.16431924,2.7261251
2,3,1.01870439,2.1626719,2.77444133
2,3.05,1.04610427,2.16105155,2.82279595
2,3.1,1.07378216,2.15945778,2.87118779
2,3.15,1.10173995,2.15789016,2.9196157
2,3.2,1.12997967,2.15634828,2.9680786
2,3.25,1.15850347,2.15483169,3.01657542
2,3.3,1.18731363,2.15333998,3.06510514
2,3.35,1.21641256,2.15187269,3.11366678
2,3.4,1.2458028,2.1504294,3.16225939
2,3.45,1.27548697,2.14900968,3.21088205
2,3.5,1.30546784,2.14761308,3.25953388
2.5,1,0.197334237,2.81065381,0.889547274
2.5,1.05,0.215704565,2.80773867,0.934993613
2.5,1.1,0.234682701,2.80478293,0.980548527
2.5,1.15,0.254245099,2.80179454,1.02621143
2.5,1.2,0.27436951,2.79878091,1.07198143
2.5,1.25,0.295034999,2.79574895,1.11785736
2.5,1.3,0.316221936,2.79270503,1.1638378
2.5,1.35,0.337911983,2.78965504,1.20992113
2.5,1.4,0.360088068,2.78660436,1.25610558
2.5,1.45,0.382734342,2.7835579,1.30238921
2.5,1.5,0.405836145,2.78052013,1.34876997
2.5,1.55,0.429379953,2.77749508,1.39524573
2.5,1.6,0.453353326,2.77448637,1.44181428
2.5,1.65,0.47774486,2.77149726,1.48847334
2.5,1.7,0.502544129,2.76853062,1.53522063
2.5,1.75,0.527741635,2.76558901,1.58205383
2.5,1.8,0.553328754,2.7626747,1.62897061
2.5,1.85,0.579297685,2.75978964,1.67596865
2.5,1.9,0.605641397,2.75693554,1.72304565
2.5,1.95,0.632353589,2.75411387,1.77019933
2.5,2,0.659428637,2.75132586,1.81742743
2.5,2.05,0.686861555,2.74857258,1.86472774
2.5,2.1,0.714647954,2.74585487,1.91209808
2.5,2.15,0.742784,2.74317345,1.95953632
2.5,2.2,0.771266386,2.74052884,2.00704037
2.5,2.25,0.80009229,2.73792148,2.05460821
2.5,2.3,0.829259348,2.73535164,2.10223785
2.5,2.35,0.858765625,2.73281952,2.14992736
2.5,2.4,0.888609586,2.73032519,2.19767486
2.5,2.45,0.918790076,2.72786864,2.24547854
2.5,2.5,0.949306288,2.72544981,2.29333663
2.5,2.55,0.98015775,2.72306854,2.34124741
2.5,2.6,1.0113443,2.72072461,2.38920923
2.5,2.65,1.04286608,2.71841776,2.43722048
2.5,2.7,1.07472349,2.71614768,2.48527961
2.5,2.75,1.10691721,2.71391401,2.53338512
2.5,2.8,1.13944816,2.71171637,2.58153555
2.5,2.85,1.17231749,2.70955434,2.6297295
2.5,2.9,1.20552659,2.70742746,2.67796562
2.5,2.95,1.23907704,2.70533528,2.72624259
2.5,3,1.27297065,2.7032773,2.77455917
2.5,3.05,1.3072094,2.70125302,2.82291412
2.5,3.1,1.34179546,2.69926193,2.87130626
2.5,3.15,1.37673118,2.69730351,2.91973448
2.5,3.2,1.4120191,2.69537722,2.96819766
2.5,3.25,1.44766189,2.69348252,3.01669475
2.5,3.3,1.48366241,2.69161888,3.06522473
2.5,3.35,1.52002366,2.68978575,3.11378662
2.5,3.4,1.55674879,2.68798258,3.16237947
2.5,3.45,1.59384111,2.68620885,3.21100235
2.5,3.5,1.63130404,2.68446401,3.2596544
3,1,0.236685633,3.37256501,0.889637916
3,1.05,0.258720558,3.36907149,0.935087318
3,1.1,0.281484699,3.36552924,0.980645152
3,1.15,0.304949816,3.36194777,1.02631084
3,1.2,0.329089224,3.35833598,1.07208348
3,1.25,0.353877805,3.35470213,1.11796192
3,1.3,0.379292013,3.35105388,1.16394475
3,1.35,0.405309848,3.34739827,1.21003036
3,1.4,0.431910824,3.34374175,1.25621696
3,1.45,0.459075928,3.34009022,1.30250264
3,1.5,0.486787566,3.33644903,1.34888534
3,1.55,0.515029509,3.332823,1.39536294
3,1.6,0.543786828,3.3292165,1.44193323
3,1.65,0.573045835,3.32563341,1.48859395
3,1.7,0.602794016,3.3220772,1.53534281
3,1.75,0.63301997,3.31855094,1.5821775
3,1.8,0.663713342,3.31505733,1.62909569
3,1.85,0.694864766,3.31159872,1.67609507
3,1.9,0.726465801,3.30817718,1.72317334
3,1.95,0.758508878,3.30479445,1.77032822
3,2,0.790987243,3.30145203,1.81755747
3,2.05,0.823894906,3.29815118,1.86485886
3,2.1,0.857226594,3.29489294,1.91223023
3,2.15,0.8909777,3.29167815,1.95966945
3,2.2,0.925144247,3.28850745,2.00717443
3,2.25,0.959722843,3.28538136,2.05474315
3,2.3,0.994710644,3.28230023,2.10237362
3,2.35,1.03010532,3.27926426,2.15006393
3,2.4,1.06590502,3.27627357,2.19781219
3,2.45,1.10210836,3.27332816,2.24561658
3,2.5,1.13871435,3.27042792,2.29347535
3,2.55,1.17572243,3.26757268,2.34138679
3,2.6,1.21313238,3.26476219,2.38934922
3,2.65,1.25094438,3.26199613,2.43736106
3,2.7,1.2891589,3.25927412,2.48542075
3,2.75,1.32777674,3.25659575,2.53352679
3,2.8,1.366799,3.25396056,2.58167773
3,2.85,1.40622706,3.25136803,2.62987217
3,2.9,1.44606257,3.24881763,2.67810875
3,2.95,1.48630743,3.24630882,2.72638616
3,3,1.52696378,3.24384099,2.77470316
3,3.05,1.56803401,3.24141356,2.8230585
