type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,error
plan,4,,,,,,,5.79,0.9113935478940796,-8.495690000773097e-05,0.8769685801622934,0.6,6.156258373958654,0.41139355479372575,-1.892790981288729e-06,-0.08461144131632292,5.7474480994399996e-05,0.9964140207238448,-0.137781243021106,6.12179009471845e-05,0.9904626824489288,0.41474474532000594,-3.1620233972794426e-06,0.0,0.7095450561151764,,,,,,,,,1.0,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.11,0.9177028388136264,-0.00014358450439855497,0.2494042580299232,0.001469293125351641,0.5177028587251546,0.0,0.0,1.0,
cycle,5,6.16,0.9073662198328076,-0.0001379942318559897,0.2465916202182225,3.5278110743414404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,5,,,,,,,6.5600000000000005,0.7324996014252513,1.735570531265912e-05,0.7194486347400589,0.6,6.879236666709849,0.4,0.0,0.04853403110250665,-0.00010613292312908058,0.998821523877386,-0.001882988930856977,-9.701439461136637e-05,0.9999982224688668,0.40585149083406746,5.448148188329926e-06,0.09174958390143799,0.6603498922909847,,,,,,,,,1.0,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,6.83,0.6136640889468501,0.00012034442119378238,0.24575969391180275,0.02188208049579979,0.20227057108864424,0.0,0.0,1.0,
cycle,6,6.88,0.5918596421742766,0.0001275075779462083,0.24752100006392805,3.0453713210249314,0.09174958390143799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,6,,,,,,,7.32,0.3452228563170819,8.780713123100058e-05,0.8295134942349763,0.6,7.672800541138578,0.0,0.0,0.08491784188128629,1.2848745172705896e-05,0.9963879565536381,0.030854322786789595,1.5369179809113988e-07,0.9995238920432792,0.00011022839047303279,1.5859543129124857e-07,0.05532990583840365,0.6943275792021902,,,,,,,,,1.0,
landing,6,,,,,,,,,,,,,,,,,,,,,,,,,7.64,0.15802334407804824,6.0981372060129746e-05,0.24719915462263636,0.019651569184393494,0.24197666360601466,0.0,0.0,1.0,
cycle,7,7.69,0.13374149539036362,0.00014411881303138749,0.24712297851866827,3.3785786043727057,0.05532990583840365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,7,,,,,,,8.13,-0.08690454378484537,0.0017407851589572134,0.8499836819829591,0.6,8.489025166628286,0.0,0.0,0.136203316154273,-0.001166112113734795,0.9906802192691229,0.13059714945081824,-0.0012437310306947355,0.9914347369789117,-0.002070153025951871,2.0634105842863397e-05,0.0,0.7004498060168092,,,,,,,,,1.0,
landing,7,,,,,,,,,,,,,,,,,,,,,,,,,8.45,-0.25084771534195205,0.0028642644360251384,0.2552963759154219,0.02072288882721315,0.2508640673811945,0.0,0.0,1.0,
cycle,8,8.5,-0.2650294416891231,0.0019095492315201593,0.2421854596989874,3.4386171399642875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,8,,,,,,,8.88,-0.2930326706231764,-0.015284169598799366,0.7182292527452854,0.6,9.19900764156888,0.0,0.0,0.08170113877736668,0.015471514366148076,0.9965367811404151,0.11324371061984026,0.015936298846977486,0.993439427637191,-0.013615867859151753,-0.0013630327569371034,0.09056668215481377,0.6613945686053684,,,,,,,,,1.0,
landing,8,,,,,,,,,,,,,,,,,,,,,,,,,9.16,-0.3133518791246157,-0.028076247388060444,0.2558313742944722,0.0036822108344644667,0.3146071769974794,0.0,0.0,1.0,
cycle,9,9.22,-0.3080050847689378,-0.031739188904058524,0.26666948171291216,3.0556160960033827,0.09056668215481377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,9,,,,,,,9.64,-0.19966502555914586,-0.07423797773856806,0.7732106395465395,0.6,9.975892202451172,0.0,0.0,0.0,0.0,1.0,0.048518902764795147,-0.01968626661461277,0.9986282426315004,0.16078560811003734,-0.2204887557130114,0.07965088711410974,0.6712203984409482,,,,,,,,,1.0,
landing,9,,,,,,,,,,,,,,,,,,,,,,,,,9.94,-0.11862270117560846,-0.1072075056149499,0.24182041052815414,0.010370731480714959,0.1598899449445687,0.0,0.0,1.0,
cycle,10,9.99,-0.10822541510145577,-0.11101113820473342,0.253698703612263,3.1519745701604704,0.07965088711410974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,10,,,,,,,10.46,-0.014849080635958694,-0.1547429824406585,0.8124450327765124,0.6,10.807730285454657,0.0,0.0,-0.026483064948015608,0.05796024292257415,0.9979675633563023,-0.02150763601922104,0.07126958544958582,0.9972251840896865,0.0005248968361630454,-0.002830266205025106,0.06246177546531183,0.6873770093160569,,,,,,,,,1.0,
landing,10,,,,,,,,,,,,,,,,,,,,,,,,,10.89,0.14312612131161964,-0.10604237290451171,0.18878990883666355,0.14912695574709225,0.17812936718275282,0.0,0.0,1.0,
