theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1,1.1,0.0939587193,1.12204707,0.980363923
1,1.15,0.10178989,1.12084878,1.02602152
1,1.2,0.109845947,1.11964042,1.07178647
1,1.25,0.11811851,1.11842476,1.11765759
1,1.3,0.126599723,1.11720436,1.16363346
1,1.35,0.135282247,1.11598157,1.20971247
1,1.4,0.144159252,1.11475856,1.2558928
1,1.45,0.153224396,1.11353729,1.30217252
1,1.5,0.162471816,1.11231955,1.34854958
1,1.55,0.171896102,1.11110696,1.39502183
1,1.6,0.181492279,1.10990096,1.44158704
1,1.65,0.191255788,1.10870286,1.48824294
1,1.7,0.201182459,1.10751381,1.53498723
1,1.75,0.211268497,1.10633483,1.58181759
1,1.8,0.221510454,1.10516684,1.62873167
1,1.85,0.231905214,1.10401061,1.67572716
1,1.9,0.242449967,1.10286682,1.72280174
1,1.95,0.253142198,1.10173606,1.76995311
1,2,0.263979659,1.10061883,1.81717903
1,2.05,0.274960362,1.09951554,1.86447727
1,2.1,0.286082553,1.09842655,1.91184565
1,2.15,0.297344706,1.09735212,1.95928203
1,2.2,0.3087455,1.09629248,2.00678432
1,2.25,0.320283811,1.09524778,2.05435047
1,2.3,0.331958699,1.09421815,2.10197852
1,2.35,0.343769394,1.09320365,2.14966651
1,2.4,0.355715286,1.09220432,2.19741257
1,2.45,0.367795919,1.09122015,2.24521488
1,2.5,0.380010974,1.09025112,2.29307166
1,2.55,0.392360267,1.08929715,2.34098121
1,2.6,0.40484374,1.08835816,2.38894185
1,2.65,0.41746145,1.08743405,2.43695198
1,2.7,0.430213566,1.08652468,2.48501004
1,2.75,0.443100362,1.08562993,2.53311453
1,2.8,0.456122213,1.08474961,2.58126399
1,2.85,0.469279586,1.08388358,2.62945702
1,2.9,0.482573036,1.08303165,2.67769226
1,2.95,0.496003207,1.08219363,2.7259684
1,3,0.50957082,1.08136932,2.77428417
1,3.05,0.523276677,1.08055853,2.82263835
1,3.1,0.537121653,1.07976104,2.87102977
1,3.15,0.551106692,1.07897665,2.91945729
1,3.2,0.565232811,1.07820514,2.96791981
1,3.25,0.579501088,1.0774463,3.01641627
1,3.3,0.59391267,1.07669991,3.06494564
1,3.35,0.608468763,1.07596574,3.11350695
1,3.4,0.623170633,1.07524359,3.16209925
1,3.45,0.638019606,1.07453324,3.21072161
1,3.5,0.653017064,1.07383446,3.25937315
1,3.55,0.668164446,1.07314705,3.30805302
1,3.6,0.683463244,1.07247079,3.35676039
1,3.65,0.698915006,1.07180546,3.40549446
1,3.7,0.714521333,1.07115087,3.45425448
1,3.75,0.730283875,1.07050679,3.5030397
1,3.8,0.746204337,1.06987303,3.55184941
1,3.85,0.762284476,1.06924939,3.60068291
1,3.9,0.778526096,1.06863567,3.64953953
